"Country.Name","Country.Code","Region","IncomeGroup","Year","Life.Expectancy.World.Bank","Prevelance.of.Undernourishment","CO2","Health.Expenditure..","Education.Expenditure..","Unemployment","Sanitation","Injuries","Communicable","NonCommunicable"
"Albania","ALB","Europe & Central Asia","Upper middle income",2001,74.288,4.9,3230,7.13952398,3.45869994163513,18.5750007629395,40.52089533,117081.67,140894.78,532324.75
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2001,73.755,3,125260,8.37179756,4.833740234375,17.3199996948242,48.05399554,1397676.07,1507068.98,8070909.52
"Armenia","ARM","Europe & Central Asia","Upper middle income",2001,71.8,26.1,3600,4.64562702,2.46943998336792,10.9119997024536,46.35189576,103371.75,122238.13,767916.19
"Austria","AUT","Europe & Central Asia","High income",2001,78.5756097560976,2.5,67910,9.26942921,5.57547998428345,4.01000022888184,99.67939917,240208.86,77701.17,2101883.59
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2001,67.054,17,26400,2.75590682,3.50342011451721,10.9099998474121,19.59669997,235307.74,904186.52,1816141.16
"Bangladesh","BGD","South Asia","Lower middle income",2001,65.956,15.9,25780,2.06375051,2.17193007469177,3.61700010299683,18.73700671,5106399.34,29348014.24,20529108.23
"Bulgaria","BGR","Europe & Central Asia","Upper middle income",2001,71.7682926829268,4,46190,6.85958767,3.38423991203308,19.9200000762939,50.83995755,379598.55,184936.84,3126551.07
"Brazil","BRA","Latin America & Caribbean","Upper middle income",2001,70.462,10.7,319380,8.54960632,3.84468007087708,9.60999965667725,36.16762407,9266898.86,13885996.63,36221436.41
"Canada","CAN","North America","High income",2001,79.3390243902439,2.5,506620,8.62482357,4.95303010940552,7.21999979019165,77.5758104,818908.6,374249.31,6667095.01
"Switzerland","CHE","Europe & Central Asia","High income",2001,80.180487804878,2.5,45150,9.43919373,4.81137990951538,2.49000000953674,99.61498273,248188.08,83610.68,1735154.25
"Colombia","COL","Latin America & Caribbean","Upper middle income",2001,73.241,8.7,58940,5.94238234,3.70867991447449,15.039999961853,15.32835091,3298510.11,2290325.34,6106138.78
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income",2001,77.601,4.7,5420,6.47410393,4.83202981948853,5.92000007629395,38.62663605,111737.67,105977.38,589944.74
"Cuba","CUB","Latin America & Caribbean","Upper middle income",2001,76.905,2.5,27470,6.98209763,8.3580904006958,4.07999992370605,40.22396538,369329.5,273181.1,2375229.65
"Cyprus","CYP","Europe & Central Asia","High income",2001,78.139,5.1,6990,5.33940458,5.11552000045776,3.98000001907349,76.17387116,27840.44,11278.33,197749.38
"Djibouti","DJI","Middle East & North Africa","Lower middle income",2001,57.1,42,380,2.8072207,7.80542993545532,28.2169990539551,24.85958539,24412.57,304678.27,97074.22
"Denmark","DNK","Europe & Central Asia","High income",2001,76.7926829268293,2.5,54250,8.44832611,8.21545028686523,4.15999984741211,86.80214056,147748.82,69511.12,1523352.52
"Spain","ESP","Europe & Central Asia","High income",2001,79.3682926829268,2.5,294790,6.76895761,4.1112699508667,10.3500003814697,93.8276238,1105890.85,554637.5,10087758.4
"Estonia","EST","Europe & Central Asia","High income",2001,70.2585365853659,3.6,15380,4.77708292,5.22845983505249,13.1300001144409,92.57380161,105615.51,30166.86,476440.3
"Ethiopia","ETH","Sub-Saharan Africa","Low income",2001,52.595,47,4400,4.72316694,3.7002899646759,3.30399990081787,2.377647105,3185985.43,46614051.59,10875042.5
"Finland","FIN","Europe & Central Asia","High income",2001,77.9658536585366,2.5,61090,7.25090408,5.84025001525879,10.289999961853,80.24642653,222105.62,66976.25,1324448.51
"United Kingdom","GBR","Europe & Central Asia","High income",2001,77.9926829268293,2.5,545260,7.56716347,4.10855007171631,4.69999980926514,97.74638486,1259910.06,1112338.81,16399003.09
"Georgia","GEO","Europe & Central Asia","Upper middle income",2001,70.065,7.7,3520,7.16950893,2.13750004768372,11.1599998474121,47.28735939,146593.82,206455.21,1423122.16
"Ghana","GHA","Sub-Saharan Africa","Lower middle income",2001,57.158,14.9,6210,3.17252946,5.35444021224976,9.50100040435791,4.427019443,598632.38,8404053.28,3184154.2
"Greece","GRC","Europe & Central Asia","High income",2001,78.3878048780488,2.5,96610,7.9878397,3.36457991600037,10.460000038147,77.87126339,284568.09,125698.03,2884915.79
"Hungary","HUN","Europe & Central Asia","High income",2001,72.2487804878049,2.5,56280,6.82614756,4.9310097694397,5.67000007629395,63.58014119,486731.33,152435.99,3521823.54
"Ireland","IRL","Europe & Central Asia","High income",2001,77.1341463414634,2.5,44820,6.39664602,4.08749008178711,3.6800000667572,55.44309298,105279.3,61994.06,897172.4
"Iceland","ISL","Europe & Central Asia","High income",2001,80.690243902439,2.5,2160,8.78546429,6.70592021942139,1.87000000476837,43.87972331,6372.43,3218.11,55518.22
"Israel","ISR","Middle East & North Africa","High income",2001,79.4073170731707,2.5,57950,7.20983076,6.3739800453186,11.8100004196167,80.57320446,176917.39,93001.57,1193383.71
"Italy","ITA","Europe & Central Asia","High income",2001,80.1268292682927,2.5,436570,7.73760843,4.65009021759033,9.60000038146973,95.64344875,1447044.78,614698.09,15411336.84
"Japan","JPN","East Asia & Pacific","High income",2001,81.4170731707317,2.5,1170380,7.23947954,3.40082001686096,5.01999998092651,73.4801356,3740899.3,1971391.2,27958110.06
"Kuwait","KWT","Middle East & North Africa","High income",2001,73.21,2.6,53190,3.18838811,6.5858302116394,0.800000011920929,100,47194.38,37550.07,260456.02
"Lebanon","LBN","Middle East & North Africa","Lower middle income",2001,74.999,7.8,16890,10.56592274,2.84148001670837,8.18599987030029,9.425466024,96063.15,156407.56,757768.34
"Lesotho","LSO","Sub-Saharan Africa","Lower middle income",2001,46.197,20,400,7.27745914,9.36505031585693,34.6349983215332,9.24941769,129978,1373764.09,360118.16
"Lithuania","LTU","Europe & Central Asia","High income",2001,71.6585365853659,2.5,11150,6.01339579,5.84758996963501,16.8400001525879,79.99395432,281788.15,65951.41,1045815.65
"Luxembourg","LUX","Europe & Central Asia","High income",2001,77.8243902439025,2.5,9120,6.410923,3.53973007202148,1.80999994277954,90.92752336,12963.49,5467.01,107770.41
"Latvia","LVA","Europe & Central Asia","High income",2001,70.7609756097561,4.6,7360,5.7776227,5.44695997238159,13.8199996948242,52.41175179,193981.23,54542.91,828550.73
